stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,AM,"Aberdeen-Matawan","NCMATWN",40.420161,-74.223702,3917,,,,,
2,AB,"Absecon","ABCON",39.424333,-74.502094,333,,,,,
3,AZ,"Allendale","MLALNDL",41.030902,-74.130957,2893,,,,,
4,AH,"Allenhurst","NCALNST",40.237659,-74.006769,5453,,,,,
5,AS,"Anderson Street","PVANDST",40.894458,-74.043781,1357,,,,,
6,AN,"Annandale","RVANNAN",40.645173,-74.878569,5197,,,,,
7,AP,"Asbury Park","NCASBPK",40.215359,-74.014786,5453,,,,,
8,AO,"Atco","ATCO",39.783547,-74.907588,4429,,,,,
9,AC,"Atlantic City Terminal","ACY",39.363299,-74.441486,77,,,,,
10,AV,"Avenel","NCAVENL",40.57762,-74.27753,2381,,,,,
11,BA,"B.W.I. Airport","BWI",39.1945,-76.6887,,,,,,
12,BL,"Baltimore","BAL",39.3074,-76.6157,,,,,,
13,BI,"Basking Ridge","GSBSRDG",40.711378,-74.55527,4173,,,,,
14,BH,"Bay Head","NCBAYHDZ",40.077178,-74.046183,5965,,,,,
15,MC,"Bay Street (Montclair)","MCBAYST",40.808178,-74.208681,1357,,,,,
16,BS,"Belmar","NCBELMR",40.18059,-74.027301,5709,,,,,
17,BY,"Berkeley Heights","GSBKHGT",40.682345,-74.442649,2893,,,,,
18,BV,"Bernardsville","GSBRDVLZ",40.716845,-74.571023,4173,,,,,
19,BM,"Bloomfield","MCBLMFD",40.792709,-74.200043,1101,,,,,
20,BN,"Boonton","BLBNTON",40.903378,-74.407736,3661,,,,,
21,BK,"Bound Brook","RVBNDBR",40.560929,-74.530617,3661,,,,,
22,BB,"Bradley Beach","NCBRADB",40.203751,-74.018891,5453,,,,,
23,BU,"Brick Church","MEBRKCH",40.765134,-74.218612,1101,,,,,
24,BW,"Bridgewater","RVBRWTR",40.559906,-74.551741,3917,,,,,
25,BF,"Broadway","BCBRDWY",40.922505,-74.115236,1613,,,,,
26,CB,"Campbell Hall","STCMBHL",41.450917,-74.266554,5709,,,,,
27,CM,"Chatham","MECHTHM",40.740137,-74.384812,2637,,,,,
28,CY,"Cherry Hill","CHERRY",39.928447,-75.041661,5197,,,,,
29,IF,"Clifton","MLCLIFT",40.867998,-74.153203,1357,,,,,
30,CN,"Convent","MECNVNT",40.779038,-74.443435,3149,,,,,
31,XC,"Cranford","RVCRNFD",40.655523,-74.303226,1869,,,,,
32,DL,"Delawanna","MLDLWNA",40.831369,-74.131262,845,,,,,
33,DV,"Denville","MEDENVL",40.8839,-74.481513,4173,,,,,
34,DO,"Dover","MEDOVER",40.883415,-74.555887,4429,,,,,
35,DN,"Dunellen","RVDUNEL",40.590869,-74.463043,3149,,,,,
36,EO,"East Orange","MEERANG",40.760977,-74.210464,1101,,,,,
37,ED,"Edison","EDISON",40.519148,-74.410972,3405,,,,,
38,EH,"Egg Harbor City","EGHAR",39.526441,-74.648028,1613,,,,,
39,EL,"Elberon","NCELBRN",40.265292,-73.99762,5197,,,,,
40,EZ,"Elizabeth","ELIZ",40.667857,-74.215174,1357,,,,,
41,EN,"Emerson","PVEMRSN",40.975036,-74.027471,2125,,,,,
42,EX,"Essex Street","PVESSEX",40.878973,-74.051893,1357,,,,,
43,FW,"Fanwood","RVFANWD",40.64106,-74.385003,2381,,,,,
44,FH,"Far Hills","GSFARHL",40.685712,-74.633734,4429,,,,,
46,GD,"Garfield","BCGARFD",40.866669,-74.10556,1101,,,,,
47,GW,"Garwood","RVGARWD",40.652569,-74.324794,2125,,,,,
48,GI,"Gillette","GSGILET",40.678253,-74.468317,3149,,,,,
49,GL,"Gladstone","GSGLADS",40.720284,-74.666371,4685,,,,,
50,GG,"Glen Ridge","MCGLRDG",40.80059,-74.204655,1101,,,,,
51,GK,"Glen Rock (Boro Hall)","BCGLNRK",40.96137,-74.1293,2125,,,,,
52,RS,"Glen Rock (Main Line)","MLGLNRK",40.962206,-74.133485,2125,,,,,
54,HQ,"Hackettstown","MEHCKTNZ",40.851444,-74.835352,4941,,,,,
55,HL,"Hamilton","HAMTWP",40.255309,-74.70412,5197,,,,,
56,HN,"Hammonton","HAMON",39.631673,-74.79946,2893,,,,,
57,RM,"Harriman Station","STHRMANZ",41.293354,-74.13987,5197,,,,,
58,HW,"Hawthorne","MLHAWTH",40.942539,-74.152411,1869,,,,,
59,HZ,"Hazlet","NCHAZLT",40.415385,-74.190393,4173,,,,,
60,HG,"High Bridge","RVHIBRG",40.666884,-74.895863,5453,,,,,
61,HI,"Highland Ave.","MEHGLND",40.766863,-74.243741,1357,,,,,
62,HD,"Hillsdale","PVHLSDL",41.002414,-74.041033,2381,,,,,
64,UF,"Ho-Ho-Kus","MLHHKUS",40.997369,-74.113521,2637,,,,,
63,HB,"Hoboken","MEHOB",40.734843,-74.028046,336,,,,,
65,JA,"Jersey Avenue","JRSY",40.476912,-74.467363,3661,,,,,
67,HP,"Lake Hopatcong","MELKHPG",40.904219,-74.665697,4941,,,,,
68,ON,"Lebanon","RVLEBAN",40.636905,-74.835766,5197,,,,,
69,LP,"Lincoln Park","BLLNPRKZ",40.924138,-74.301826,2637,,,,,
70,LI,"Linden","LIND",40.629485,-74.251772,1869,,,,,
71,LW,"Lindenwold","LDW",39.833705,-75.000674,4941,,,,,
72,FA,"Little Falls","BLLTFLS",40.880669,-74.235372,2125,,,,,
73,LS,"Little Silver","NCLSLVR",40.326715,-74.041054,4941,,,,,
74,LB,"Long Branch","NCLONGBZ",40.297145,-73.988331,5197,,,,,
75,LN,"Lyndhurst","MLLYNDH",40.816475,-74.124164,589,,,,,
76,LY,"Lyons","GSLYONS",40.684844,-74.54947,3661,,,,,
77,MA,"Madison","MEMADSN",40.757028,-74.415105,2893,,,,,
78,MZ,"Mahwah","MLMAHWA",41.094416,-74.14662,3661,,,,,
79,SQ,"Manasquan","NCMANSQ",40.120573,-74.047688,5965,,,,,
80,MW,"Maplewood","MEMAPLE",40.731149,-74.275427,1613,,,,,
81,XU,"Meadowlands","SCMEADWL",40.811099,-74.072906,,,,,,
82,MP,"Metropark","MET",40.56864,-74.329391,2637,,,,,
83,MU,"Metuchen","METU",40.540736,-74.360671,2893,,,,,
84,MI,"Middletown","NCMDLTN",40.38978,-74.116131,4429,,,,,
85,MD,"Middletown, NY","STMDLTN",41.457488,-74.37039,5965,,,,,
86,MB,"Millburn","MEMLBRN",40.725622,-74.303755,1869,,,,,
