trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
2132562,1,249235,Philadelphia 30th St.,"4692",1,4692,101,
2132167,1,249235,Atlantic City Terminal,"4693",0,4693,1,
2132151,1,249240,Atlantic City Terminal,"4697",0,4697,1,
2134518,10,249240,Bay Head,"4705",1,4705,110,
2132603,10,249235,Long Branch,"4708",0,4708,10,
2132606,10,249235,Long Branch,"4716",0,4716,10,
2135403,10,249407,Long Branch,"4720",0,4720,10,
2132554,10,249235,Bay Head,"4721",1,4721,110,
2132617,10,249235,Long Branch,"4724",0,4724,10,
2135408,10,249407,Bay Head,"4725",1,4725,110,
2135404,10,249407,Long Branch,"4728",0,4728,10,
2132555,10,249235,Bay Head,"4729",1,4729,110,
2135410,10,249407,Bay Head,"4733",1,4733,110,
2135405,10,249407,Long Branch,"4736",0,4736,10,
2132556,10,249235,Bay Head,"4737",1,4737,110,
2132619,10,249235,Long Branch,"4740",0,4740,10,
2135411,10,249407,Bay Head,"4741",1,4741,110,
2135406,10,249407,Long Branch,"4744",0,4744,10,
2132799,10,249236,Long Branch,"7237",1,7237,120,
2132553,10,249904,Bay Head,"4745",1,4745,110,
2132620,10,249235,Long Branch,"4748",0,4748,10,
2135412,10,249407,Bay Head,"4749",1,4749,110,
2135407,10,249407,Long Branch,"4752",0,4752,10,
2132557,10,249235,Bay Head,"4753",1,4753,110,
2132621,10,249235,Long Branch,"4756",0,4756,10,
2135413,10,249407,Bay Head,"4757",1,4757,110,
2132622,10,249235,Long Branch,"4760",0,4760,10,
2132558,10,249235,Bay Head,"4761",1,4761,110,
2135414,10,249407,Long Branch,"4764",0,4764,10,
2132559,10,249235,Bay Head,"4765",1,4765,110,
2132623,10,249235,Long Branch,"4768",0,4768,10,
2135409,10,249407,Bay Head,"4769",1,4769,110,
2132624,10,249235,Long Branch,"4772",0,4772,10,
2132560,10,249235,Bay Head,"4773",1,4773,110,
2132561,10,249235,Bay Head,"4777",1,4777,110,
2132616,10,249235,Long Branch,"4780",0,4780,10,
2132787,10,249234,Penn Station New York,"7240",0,7240,20,
2133716,15,249283,Raritan,"5121",1,5121,115,
2133710,15,249283,Raritan,"5123",1,5123,115,
2133725,15,249283,Penn Station New York,"5126",0,5126,15,
2133741,15,249283,Penn Station New York,"5132",0,5132,15,
2133715,15,249283,Penn Station New York,"5134",0,5134,15,
